date,symbol,open,high,low,close,ltp,volume,amount,per_change,MACD,MACD_signal,RSI_14
2025-12-28,AHL,571.2,576.0,556.2,562.0,562.0,3506.0,1968766.2,0.36,-15.16,-11.13,25.94
2025-12-24,AHL,550.0,560.0,550.0,560.0,560.0,3941.0,2188264.0,1.82,-15.19,-10.12,34.15
2025-12-23,AHL,544.2,550.0,544.2,550.0,550.0,2216.0,1214098.0,-0.04,-14.8,-8.86,28.49
2025-12-22,AHL,555.0,557.0,545.1,550.2,550.2,12467.0,6851817.9,-1.22,-13.07,-7.37,28.53
2025-12-21,AHL,565.0,570.0,556.0,557.0,557.0,9937.0,5605827.0,-2.62,-10.69,-5.95,29.37
2025-12-18,AHL,583.0,583.0,571.3,572.0,572.0,9929.0,5711323.7,-1.41,-8.19,-4.76,32.71
2025-12-17,AHL,577.1,598.0,577.1,580.2,580.2,7844.0,4574938.7,-1.16,-6.41,-3.91,34.84
2025-12-16,AHL,595.0,595.0,580.0,587.0,587.0,14683.0,8583658.5,-0.51,-4.88,-3.28,37.53
2025-12-15,AHL,583.1,596.0,583.1,590.0,590.0,7165.0,4215414.2,-0.82,-3.55,-2.88,36.41
2025-12-14,AHL,610.0,610.0,590.0,594.9,594.9,13148.0,7814947.7,-2.48,-2.1,-2.71,44.78
2025-12-11,AHL,622.9,622.9,599.0,610.0,610.0,11086.0,6684069.8,-0.96,-0.72,-2.87,54.24
2025-12-10,AHL,624.9,625.0,590.1,615.9,615.9,13762.0,8392014.9,-1.46,-0.49,-3.41,58.41
2025-12-09,AHL,620.7,645.0,620.7,625.0,625.0,6572.0,4128629.8,-1.28,-0.78,-4.14,62.14
2025-12-08,AHL,628.3,652.0,612.09,633.1,633.1,27721.0,17525367.2,2.78,-2.08,-4.97,73.15
2025-12-07,AHL,612.0,630.3,600.0,616.0,616.0,44489.0,27533024.4,2.67,-4.52,-5.7,56.14
2025-12-03,AHL,595.0,602.9,590.2,600.0,600.0,4373.0,2598108.4,0.0,-5.84,-5.99,40.51
2025-12-02,AHL,595.0,602.0,595.0,600.0,600.0,1333.0,796472.0,0.0,-5.8,-6.03,41.13
2025-12-01,AHL,592.0,602.0,591.5,600.0,600.0,1702.0,1014204.1,-0.58,-5.67,-6.08,37.1
2025-11-30,AHL,607.0,607.0,599.0,603.5,603.5,4984.0,2997710.7,-0.58,-5.43,-6.19,30.69
2025-11-27,AHL,600.1,612.0,600.0,607.0,607.0,4824.0,2904043.8,-0.33,-5.39,-6.38,50.06
2025-11-26,AHL,602.2,610.0,602.0,609.0,609.0,4449.0,2700056.7,0.0,-5.62,-6.62,48.93
2025-11-25,AHL,626.0,626.0,600.5,609.0,609.0,5587.0,3383986.0,-0.93,-6.03,-6.88,54.26
2025-11-24,AHL,593.0,628.0,582.0,614.7,614.7,6098.0,3722237.3,1.62,-6.47,-7.09,49.37
2025-11-23,AHL,600.0,610.0,596.7,604.9,604.9,6590.0,3963004.4,0.32,-7.51,-7.24,49.95
2025-11-20,AHL,609.9,614.0,595.0,603.0,603.0,5483.0,3297888.3,0.0,-7.74,-7.18,41.69
2025-11-19,AHL,619.0,619.0,593.5,603.0,603.0,3264.0,1947103.5,-0.74,-7.73,-7.03,40.03
2025-11-18,AHL,588.0,646.0,588.0,607.5,607.5,9378.0,5617862.7,1.25,-7.6,-6.86,42.0
2025-11-17,AHL,596.3,608.2,586.0,600.0,600.0,4867.0,2922380.1,-1.36,-7.78,-6.67,41.76
2025-11-16,AHL,597.0,620.0,586.0,608.3,608.3,2616.0,1568930.1,-0.11,-7.14,-6.4,41.59
2025-11-13,AHL,597.0,612.0,586.1,609.0,609.0,13989.0,8422621.7,0.08,-7.06,-6.21,32.63
2025-11-12,AHL,602.0,612.5,595.0,608.5,608.5,2622.0,1578541.5,-0.85,-6.93,-6.0,48.4
2025-11-11,AHL,616.0,616.0,604.0,613.7,613.7,2720.0,1662708.4,-2.32,-6.6,-5.77,49.67
2025-11-10,AHL,616.0,628.3,590.0,628.3,628.3,14454.0,8884760.2,3.53,-6.62,-5.56,49.92
2025-11-09,AHL,619.0,619.0,590.1,606.9,606.9,6854.0,4101846.3,-0.64,-8.04,-5.29,35.44
2025-11-06,AHL,610.0,612.0,598.0,610.8,610.8,4452.0,2690910.4,1.63,-7.56,-4.6,47.85
2025-11-05,AHL,604.0,628.0,592.6,601.0,601.0,5199.0,3145642.5,-2.44,-7.22,-3.86,38.85
2025-11-04,AHL,593.0,637.0,593.0,616.0,616.0,4339.0,2632444.5,1.82,-5.69,-3.02,47.47
2025-11-03,AHL,611.0,623.2,599.0,605.0,605.0,10071.0,6095282.6,-2.89,-5.18,-2.36,45.45
2025-11-02,AHL,616.0,630.0,604.0,623.0,623.0,6494.0,4025472.2,-0.8,-3.34,-1.65,43.85
2025-10-30,AHL,615.0,650.0,603.0,628.0,628.0,5197.0,3223102.8,0.16,-2.77,-1.22,45.27
2025-10-29,AHL,608.0,644.0,608.0,627.0,627.0,5414.0,3410493.3,1.13,-2.52,-0.84,46.44
2025-10-28,AHL,617.0,650.0,604.0,620.0,620.0,13622.0,8510331.3,-1.4,-2.05,-0.42,41.75
2025-10-26,AHL,650.0,650.0,610.0,628.8,628.8,4984.0,3064576.8,-5.16,-0.71,-0.01,51.74
2025-10-19,AHL,603.0,663.0,590.0,663.0,663.0,5705.0,3473244.5,7.8,0.11,0.17,56.42
2025-10-16,AHL,603.0,635.0,591.0,615.0,615.0,6431.0,3879909.6,0.0,-2.33,0.18,51.53
2025-10-15,AHL,617.0,641.0,606.0,615.0,615.0,4487.0,2747125.5,-2.16,-0.51,0.81,50.25
2025-10-14,AHL,657.0,657.0,609.0,628.6,628.6,5532.0,3429852.0,-6.18,1.81,1.14,50.87
2025-10-13,AHL,610.0,670.0,599.0,670.0,670.0,9202.0,5721090.4,7.72,3.36,0.97,56.8
2025-10-12,AHL,654.0,654.0,605.0,622.0,622.0,5356.0,3315190.6,-6.75,1.07,0.38,47.09
2025-10-09,AHL,620.0,669.0,607.6,667.0,667.0,5383.0,3379129.2,5.54,3.03,0.2,57.0
2025-10-08,AHL,621.0,641.0,600.0,632.0,632.0,11085.0,6777585.5,-0.13,0.9,-0.51,49.51
2025-10-07,AHL,648.8,648.8,617.0,632.8,632.8,7932.0,4939207.8,-4.41,1.73,-0.86,44.32
2025-09-28,AHL,646.0,670.0,633.0,662.0,662.0,8798.0,5676552.1,0.62,2.69,-1.51,56.08
2025-09-25,AHL,637.0,699.0,627.1,657.9,657.9,10914.0,7120063.8,1.22,0.9,-2.55,57.56
2025-09-24,AHL,664.0,664.0,627.0,650.0,650.0,9759.0,6285435.3,-3.92,-0.98,-3.42,54.53
2025-09-23,AHL,606.0,676.5,606.0,676.5,676.5,9255.0,5774382.3,9.99,-2.56,-4.03,63.05
2025-09-21,AHL,605.0,628.0,586.0,615.08,618.0,10903.0,6607382.0,-0.23,-7.24,-4.4,38.32
2025-09-18,AHL,617.0,629.0,616.5,616.5,616.5,90.0,55615.0,1.89,-6.86,-3.68,34.0
2025-09-08,AHL,601.1,613.0,577.4,605.05,605.0,9453.0,5696419.5,-1.35,-6.41,-2.89,30.7
2025-09-07,AHL,610.5,635.0,601.0,613.31,613.9,3092.0,1888281.6,-1.54,-4.58,-2.01,40.02
2025-09-04,AHL,618.0,627.0,612.0,622.89,626.0,7829.0,4849386.1,-1.1,-3.02,-1.37,48.04
2025-09-03,AHL,624.2,648.9,615.0,629.79,632.0,4873.0,3063507.0,-1.11,-1.96,-0.95,46.72
2025-09-02,AHL,624.9,637.0,612.6,636.84,635.9,2117.0,1329404.9,-0.11,-1.28,-0.7,51.17
2025-09-01,AHL,634.0,658.0,626.1,637.56,635.0,8335.0,5290143.8,0.6,-1.12,-0.55,50.55
2025-08-31,AHL,643.0,655.8,630.2,633.74,633.0,2411.0,1532617.2,-3.32,-0.96,-0.41,49.41
2025-08-28,AHL,626.5,677.0,626.5,655.52,642.6,9444.0,6073765.0,2.54,-0.36,-0.27,52.71
