symbol,entry_date,exit_date,type,entry_price,exit_price,pnl,pnl_pct,result
AHL,2025-03-24,2025-04-29,BUY,745.47,699.74,-45.73,-6.13,LOSS
AHL,2025-05-21,2025-05-22,BUY,688.6,657.21,-31.39,-4.56,LOSS
AHL,2025-05-27,2025-05-28,BUY,664.11,652.42,-11.69,-1.76,LOSS
AHL,2025-06-09,2025-06-12,BUY,649.04,622.66,-26.38,-4.06,LOSS
AHL,2025-06-24,2025-06-25,SELL,605.0,602.78,2.22,0.37,WIN
AHL,2025-06-29,2025-08-05,BUY,613.27,641.9,28.63,4.67,WIN
AHL,2025-08-06,2025-08-14,SELL,648.24,638.11,10.13,1.56,WIN
AHL,2025-08-27,2025-09-23,SELL,639.26,676.5,-37.24,-5.83,LOSS
AHL,2025-09-24,2025-10-15,BUY,650.0,615.0,-35.0,-5.38,LOSS
AHL,2025-10-16,2025-11-24,SELL,615.0,614.7,0.3,0.05,WIN
AHL,2025-11-25,2025-12-08,BUY,609.0,633.1,24.1,3.96,WIN
AHL,2025-12-11,2025-12-15,BUY,610.0,590.0,-20.0,-3.28,LOSS
AHPC,2025-03-09,2025-03-10,BUY,267.0,263.0,-4.0,-1.5,LOSS
AHPC,2025-03-11,2025-03-23,SELL,261.0,247.55,13.45,5.15,WIN
AHPC,2025-04-10,2025-04-17,BUY,252.79,268.73,15.94,6.31,WIN
AHPC,2025-05-14,2025-05-15,BUY,284.73,285.34,0.61,0.21,WIN
AHPC,2025-05-18,2025-06-08,SELL,278.14,301.59,-23.45,-8.43,LOSS
AHPC,2025-06-18,2025-06-26,SELL,296.76,282.95,13.81,4.65,WIN
AHPC,2025-07-10,2025-07-15,SELL,284.04,290.35,-6.31,-2.22,LOSS
AHPC,2025-08-04,2025-08-14,SELL,301.45,293.58,7.87,2.61,WIN
AHPC,2025-08-27,2025-09-08,SELL,298.47,282.24,16.23,5.44,WIN
AHPC,2025-09-21,2025-09-24,SELL,288.85,291.0,-2.15,-0.74,LOSS
AHPC,2025-09-25,2025-10-12,BUY,292.0,276.4,-15.6,-5.34,LOSS
AHPC,2025-10-13,2025-10-30,SELL,281.0,286.9,-5.9,-2.1,LOSS
AHPC,2025-11-02,2025-11-12,BUY,293.9,277.5,-16.4,-5.58,LOSS
AHPC,2025-11-13,2025-11-19,SELL,278.0,281.0,-3.0,-1.08,LOSS
AHPC,2025-11-23,2025-12-08,BUY,281.9,279.6,-2.3,-0.82,LOSS
AHPC,2025-12-09,2025-12-15,SELL,279.0,278.0,1.0,0.36,WIN
AKJCL,2025-03-11,2025-03-23,SELL,207.9,200.79,7.11,3.42,WIN
AKJCL,2025-04-15,2025-04-16,SELL,203.37,207.68,-4.31,-2.12,LOSS
AKJCL,2025-04-22,2025-05-15,BUY,207.39,205.45,-1.94,-0.94,LOSS
